ERROR: BRAM accum_buff[3]: 0 != 1 at rho = -1128 (rho index = 51), theta = 179.
ERROR: BRAM accum_buff[2]: 0 != 1 at rho = -1127 (rho index = 52), theta = 178.
ERROR: BRAM accum_buff[3]: 0 != 1 at rho = -1127 (rho index = 52), theta = 179.
ERROR: BRAM accum_buff[1]: 0 != 1 at rho = -1126 (rho index = 53), theta = 177.
ERROR: BRAM accum_buff[2]: 0 != 1 at rho = -1126 (rho index = 53), theta = 178.
ERROR: BRAM accum_buff[3]: 0 != 1 at rho = -1126 (rho index = 53), theta = 179.
ERROR: BRAM accum_buff[15]: 0 != 1 at rho = -1125 (rho index = 54), theta = 175.
ERROR: BRAM accum_buff[0]: 0 != 1 at rho = -1125 (rho index = 54), theta = 176.
ERROR: BRAM accum_buff[1]: 0 != 1 at rho = -1125 (rho index = 54), theta = 177.
ERROR: BRAM accum_buff[2]: 0 != 1 at rho = -1125 (rho index = 54), theta = 178.
ERROR: BRAM accum_buff[3]: 1 != 2 at rho = -1125 (rho index = 54), theta = 179.
ERROR: BRAM accum_buff[15]: 0 != 1 at rho = -1124 (rho index = 55), theta = 175.
ERROR: BRAM accum_buff[0]: 0 != 1 at rho = -1124 (rho index = 55), theta = 176.
ERROR: BRAM accum_buff[1]: 0 != 1 at rho = -1124 (rho index = 55), theta = 177.
ERROR: BRAM accum_buff[2]: 1 != 2 at rho = -1124 (rho index = 55), theta = 178.
ERROR: BRAM accum_buff[3]: 0 != 1 at rho = -1124 (rho index = 55), theta = 179.
ERROR: BRAM accum_buff[15]: 0 != 1 at rho = -1123 (rho index = 56), theta = 175.
ERROR: BRAM accum_buff[0]: 0 != 1 at rho = -1123 (rho index = 56), theta = 176.
ERROR: BRAM accum_buff[1]: 1 != 2 at rho = -1123 (rho index = 56), theta = 177.
ERROR: BRAM accum_buff[2]: 0 != 1 at rho = -1123 (rho index = 56), theta = 178.
ERROR: BRAM accum_buff[3]: 1 != 2 at rho = -1123 (rho index = 56), theta = 179.
ERROR: BRAM accum_buff[15]: 0 != 1 at rho = -1122 (rho index = 57), theta = 175.
ERROR: BRAM accum_buff[0]: 1 != 2 at rho = -1122 (rho index = 57), theta = 176.
ERROR: BRAM accum_buff[1]: 0 != 1 at rho = -1122 (rho index = 57), theta = 177.
ERROR: BRAM accum_buff[2]: 1 != 2 at rho = -1122 (rho index = 57), theta = 178.
ERROR: BRAM accum_buff[3]: 0 != 1 at rho = -1122 (rho index = 57), theta = 179.
ERROR: BRAM accum_buff[15]: 1 != 2 at rho = -1121 (rho index = 58), theta = 175.
ERROR: BRAM accum_buff[0]: 0 != 1 at rho = -1121 (rho index = 58), theta = 176.
ERROR: BRAM accum_buff[1]: 1 != 2 at rho = -1121 (rho index = 58), theta = 177.
ERROR: BRAM accum_buff[2]: 0 != 1 at rho = -1121 (rho index = 58), theta = 178.
ERROR: BRAM accum_buff[3]: 0 != 1 at rho = -1121 (rho index = 58), theta = 179.
ERROR: BRAM accum_buff[14]: 0 != 1 at rho = -1120 (rho index = 59), theta = 174.
ERROR: BRAM accum_buff[0]: 1 != 2 at rho = -1120 (rho index = 59), theta = 176.
ERROR: BRAM accum_buff[1]: 0 != 1 at rho = -1120 (rho index = 59), theta = 177.
ERROR: BRAM accum_buff[2]: 0 != 1 at rho = -1120 (rho index = 59), theta = 178.
ERROR: BRAM accum_buff[13]: 0 != 1 at rho = -1119 (rho index = 60), theta = 173.
ERROR: BRAM accum_buff[14]: 0 != 1 at rho = -1119 (rho index = 60), theta = 174.
ERROR: BRAM accum_buff[15]: 0 != 1 at rho = -1119 (rho index = 60), theta = 175.
ERROR: BRAM accum_buff[0]: 0 != 1 at rho = -1119 (rho index = 60), theta = 176.
ERROR: BRAM accum_buff[1]: 0 != 1 at rho = -1119 (rho index = 60), theta = 177.
ERROR: BRAM accum_buff[13]: 0 != 1 at rho = -1118 (rho index = 61), theta = 173.
ERROR: BRAM accum_buff[14]: 0 != 1 at rho = -1118 (rho index = 61), theta = 174.
ERROR: BRAM accum_buff[15]: 0 != 1 at rho = -1118 (rho index = 61), theta = 175.
ERROR: BRAM accum_buff[0]: 0 != 1 at rho = -1118 (rho index = 61), theta = 176.
ERROR: BRAM accum_buff[13]: 0 != 1 at rho = -1117 (rho index = 62), theta = 173.
ERROR: BRAM accum_buff[14]: 1 != 2 at rho = -1117 (rho index = 62), theta = 174.
ERROR: BRAM accum_buff[15]: 0 != 1 at rho = -1117 (rho index = 62), theta = 175.
ERROR: BRAM accum_buff[13]: 1 != 2 at rho = -1116 (rho index = 63), theta = 173.
ERROR: BRAM accum_buff[14]: 0 != 1 at rho = -1116 (rho index = 63), theta = 174.
ERROR: BRAM accum_buff[13]: 0 != 1 at rho = -1115 (rho index = 64), theta = 173.
ERROR: BRAM accum_buff[14]: 1 != 2 at rho = -1115 (rho index = 64), theta = 174.
ERROR: BRAM accum_buff[13]: 1 != 2 at rho = -1114 (rho index = 65), theta = 173.
ERROR: BRAM accum_buff[14]: 0 != 1 at rho = -1114 (rho index = 65), theta = 174.
ERROR: BRAM accum_buff[12]: 0 != 1 at rho = -1113 (rho index = 66), theta = 172.
ERROR: BRAM accum_buff[13]: 0 != 1 at rho = -1113 (rho index = 66), theta = 173.
ERROR: BRAM accum_buff[14]: 0 != 1 at rho = -1113 (rho index = 66), theta = 174.
ERROR: BRAM accum_buff[12]: 0 != 1 at rho = -1112 (rho index = 67), theta = 172.
ERROR: BRAM accum_buff[13]: 0 != 1 at rho = -1112 (rho index = 67), theta = 173.
ERROR: BRAM accum_buff[12]: 0 != 1 at rho = -1111 (rho index = 68), theta = 172.
ERROR: BRAM accum_buff[12]: 1 != 2 at rho = -1110 (rho index = 69), theta = 172.
ERROR: BRAM accum_buff[12]: 0 != 1 at rho = -1109 (rho index = 70), theta = 172.
ERROR: BRAM accum_buff[10]: 0 != 1 at rho = -1108 (rho index = 71), theta = 170.
ERROR: BRAM accum_buff[11]: 0 != 1 at rho = -1108 (rho index = 71), theta = 171.
ERROR: BRAM accum_buff[12]: 1 != 2 at rho = -1108 (rho index = 71), theta = 172.
ERROR: BRAM accum_buff[10]: 0 != 1 at rho = -1107 (rho index = 72), theta = 170.
ERROR: BRAM accum_buff[11]: 0 != 1 at rho = -1107 (rho index = 72), theta = 171.
ERROR: BRAM accum_buff[12]: 0 != 1 at rho = -1107 (rho index = 72), theta = 172.
ERROR: BRAM accum_buff[10]: 0 != 1 at rho = -1106 (rho index = 73), theta = 170.
ERROR: BRAM accum_buff[11]: 0 != 1 at rho = -1106 (rho index = 73), theta = 171.
ERROR: BRAM accum_buff[12]: 0 != 1 at rho = -1106 (rho index = 73), theta = 172.
ERROR: BRAM accum_buff[10]: 0 != 1 at rho = -1105 (rho index = 74), theta = 170.
ERROR: BRAM accum_buff[11]: 1 != 2 at rho = -1105 (rho index = 74), theta = 171.
ERROR: BRAM accum_buff[10]: 1 != 2 at rho = -1104 (rho index = 75), theta = 170.
ERROR: BRAM accum_buff[11]: 0 != 1 at rho = -1104 (rho index = 75), theta = 171.
ERROR: BRAM accum_buff[11]: 1 != 2 at rho = -1103 (rho index = 76), theta = 171.
ERROR: BRAM accum_buff[3]: 0 != 1 at rho = -1103 (rho index = 76), theta = 179.
ERROR: BRAM accum_buff[9]: 0 != 1 at rho = -1102 (rho index = 77), theta = 169.
ERROR: BRAM accum_buff[10]: 0 != 1 at rho = -1102 (rho index = 77), theta = 170.
ERROR: BRAM accum_buff[11]: 0 != 1 at rho = -1102 (rho index = 77), theta = 171.
ERROR: BRAM accum_buff[2]: 0 != 1 at rho = -1102 (rho index = 77), theta = 178.
ERROR: BRAM accum_buff[9]: 0 != 1 at rho = -1101 (rho index = 78), theta = 169.
ERROR: BRAM accum_buff[10]: 0 != 1 at rho = -1101 (rho index = 78), theta = 170.
ERROR: BRAM accum_buff[11]: 0 != 1 at rho = -1101 (rho index = 78), theta = 171.
ERROR: BRAM accum_buff[1]: 0 != 1 at rho = -1101 (rho index = 78), theta = 177.
ERROR: BRAM accum_buff[3]: 0 != 1 at rho = -1101 (rho index = 78), theta = 179.
ERROR: BRAM accum_buff[9]: 0 != 1 at rho = -1100 (rho index = 79), theta = 169.
ERROR: BRAM accum_buff[10]: 0 != 1 at rho = -1100 (rho index = 79), theta = 170.
ERROR: BRAM accum_buff[15]: 0 != 1 at rho = -1100 (rho index = 79), theta = 175.
